,Time,T_comp(ºC),T_evap (ºC),T_cond (ºC),Tint-Text (ºC),T_air,T_ext,T_int
118,2019-11-07 07:11:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
119,2019-11-07 07:11:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
120,2019-11-07 07:12:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
121,2019-11-07 07:12:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
122,2019-11-07 07:12:12,41.4945238095238,33.53261904761905,5.665952380952376,10.0,51.4945238095238,15.665952380952376,43.53261904761905
123,2019-11-07 07:12:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
124,2019-11-07 07:12:24,41.4945238095238,33.53261904761905,8.334047619047624,10.0,51.4945238095238,18.334047619047624,43.53261904761905
125,2019-11-07 07:12:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
126,2019-11-07 07:12:36,46.0109523809524,32.0652380952381,4.331904761904752,10.0,56.0109523809524,14.331904761904752,42.0652380952381
127,2019-11-07 07:12:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
128,2019-11-07 07:12:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
129,2019-11-07 07:12:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
130,2019-11-07 07:13:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
131,2019-11-07 07:13:06,41.4945238095238,36.46738095238095,5.665952380952376,10.0,51.4945238095238,15.665952380952376,46.46738095238095
132,2019-11-07 07:13:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
133,2019-11-07 07:13:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
134,2019-11-07 07:13:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
135,2019-11-07 07:13:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
136,2019-11-07 07:13:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
137,2019-11-07 07:13:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
138,2019-11-07 07:13:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
139,2019-11-07 07:13:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
140,2019-11-07 07:14:00,41.4945238095238,36.46738095238095,8.334047619047624,10.0,51.4945238095238,18.334047619047624,46.46738095238095
141,2019-11-07 07:14:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
142,2019-11-07 07:14:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
143,2019-11-07 07:14:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
144,2019-11-07 07:14:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
145,2019-11-07 07:14:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
146,2019-11-07 07:14:36,41.4945238095238,36.46738095238095,8.334047619047624,10.0,51.4945238095238,18.334047619047624,46.46738095238095
147,2019-11-07 07:14:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
148,2019-11-07 07:14:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
149,2019-11-07 07:14:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
150,2019-11-07 07:15:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
151,2019-11-07 07:15:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
152,2019-11-07 07:15:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
153,2019-11-07 07:15:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
154,2019-11-07 07:15:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
155,2019-11-07 07:15:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
156,2019-11-07 07:15:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
157,2019-11-07 07:15:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
158,2019-11-07 07:15:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
159,2019-11-07 07:15:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
160,2019-11-07 07:16:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
161,2019-11-07 07:16:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
162,2019-11-07 07:16:12,41.4945238095238,33.53261904761905,8.334047619047624,10.0,51.4945238095238,18.334047619047624,43.53261904761905
163,2019-11-07 07:16:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
164,2019-11-07 07:16:24,39.98904761904765,32.0652380952381,4.331904761904752,10.0,49.98904761904765,14.331904761904752,42.0652380952381
165,2019-11-07 07:16:30,41.4945238095238,33.53261904761905,8.334047619047624,10.0,51.4945238095238,18.334047619047624,43.53261904761905
166,2019-11-07 07:16:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
167,2019-11-07 07:16:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
168,2019-11-07 07:16:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
169,2019-11-07 07:16:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
170,2019-11-07 07:17:00,44.5054761904762,33.53261904761905,8.334047619047624,10.0,54.5054761904762,18.334047619047624,43.53261904761905
171,2019-11-07 07:17:06,41.4945238095238,33.53261904761905,5.665952380952376,10.0,51.4945238095238,15.665952380952376,43.53261904761905
172,2019-11-07 07:17:12,44.5054761904762,36.46738095238095,5.665952380952376,10.0,54.5054761904762,15.665952380952376,46.46738095238095
173,2019-11-07 07:17:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
174,2019-11-07 07:17:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
175,2019-11-07 07:17:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
176,2019-11-07 07:17:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
177,2019-11-07 07:17:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
178,2019-11-07 07:17:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
179,2019-11-07 07:17:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
180,2019-11-07 07:18:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
181,2019-11-07 07:18:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
182,2019-11-07 07:18:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
183,2019-11-07 07:18:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
184,2019-11-07 07:18:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
185,2019-11-07 07:18:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
186,2019-11-07 07:18:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
187,2019-11-07 07:18:42,44.5054761904762,33.53261904761905,5.665952380952376,10.0,54.5054761904762,15.665952380952376,43.53261904761905
188,2019-11-07 07:18:48,41.4945238095238,36.46738095238095,8.334047619047624,10.0,51.4945238095238,18.334047619047624,46.46738095238095
189,2019-11-07 07:18:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
190,2019-11-07 07:19:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
191,2019-11-07 07:19:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
192,2019-11-07 07:19:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
193,2019-11-07 07:19:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
194,2019-11-07 07:19:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
195,2019-11-07 07:19:30,41.4945238095238,33.53261904761905,8.334047619047624,10.0,51.4945238095238,18.334047619047624,43.53261904761905
196,2019-11-07 07:19:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
197,2019-11-07 07:19:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
198,2019-11-07 07:19:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
199,2019-11-07 07:19:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
200,2019-11-07 07:20:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
201,2019-11-07 07:20:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
202,2019-11-07 07:20:12,41.4945238095238,36.46738095238095,8.334047619047624,10.0,51.4945238095238,18.334047619047624,46.46738095238095
203,2019-11-07 07:20:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
204,2019-11-07 07:20:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
205,2019-11-07 07:20:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
206,2019-11-07 07:20:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
207,2019-11-07 07:20:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
208,2019-11-07 07:20:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
209,2019-11-07 07:20:54,44.5054761904762,33.53261904761905,5.665952380952376,10.0,54.5054761904762,15.665952380952376,43.53261904761905
210,2019-11-07 07:21:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
211,2019-11-07 07:21:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
212,2019-11-07 07:21:12,41.4945238095238,36.46738095238095,8.334047619047624,10.0,51.4945238095238,18.334047619047624,46.46738095238095
213,2019-11-07 07:21:18,41.4945238095238,36.46738095238095,8.334047619047624,10.0,51.4945238095238,18.334047619047624,46.46738095238095
214,2019-11-07 07:21:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
215,2019-11-07 07:21:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
216,2019-11-07 07:21:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
217,2019-11-07 07:21:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
218,2019-11-07 07:21:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
219,2019-11-07 07:21:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
220,2019-11-07 07:22:00,44.5054761904762,36.46738095238095,5.665952380952376,10.0,54.5054761904762,15.665952380952376,46.46738095238095
221,2019-11-07 07:22:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
222,2019-11-07 07:22:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
223,2019-11-07 07:22:18,43.0,35.0,7.0,10.0,53.0,17.0,45.0
224,2019-11-07 07:22:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
225,2019-11-07 07:22:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
226,2019-11-07 07:22:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
227,2019-11-07 07:22:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
228,2019-11-07 07:22:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
229,2019-11-07 07:22:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
230,2019-11-07 07:23:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
231,2019-11-07 07:23:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
232,2019-11-07 07:23:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
233,2019-11-07 07:23:18,41.4945238095238,36.46738095238095,8.334047619047624,10.0,51.4945238095238,18.334047619047624,46.46738095238095
234,2019-11-07 07:23:24,44.5054761904762,33.53261904761905,8.334047619047624,10.0,54.5054761904762,18.334047619047624,43.53261904761905
235,2019-11-07 07:23:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
236,2019-11-07 07:23:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
237,2019-11-07 07:23:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
238,2019-11-07 07:23:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
239,2019-11-07 07:23:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
240,2019-11-07 07:24:00,44.5054761904762,33.53261904761905,5.665952380952376,10.0,54.5054761904762,15.665952380952376,43.53261904761905
241,2019-11-07 07:24:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
242,2019-11-07 07:24:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
243,2019-11-07 07:24:18,44.5054761904762,36.46738095238095,8.334047619047624,10.0,54.5054761904762,18.334047619047624,46.46738095238095
244,2019-11-07 07:24:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
245,2019-11-07 07:24:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
